,loss,accuracy,val_loss,val_accuracy,lr
0,0.8755099773406982,0.6725590229034424,0.7474642395973206,0.720441997051239,1e-04
1,0.791516900062561,0.7029876112937927,0.7033937573432922,0.7335174679756165,1e-04
2,0.7381457090377808,0.7244395613670349,0.7094285488128662,0.7386740446090698,1e-04
3,0.7071229219436646,0.7352115511894226,0.6448624134063721,0.7618784308433533,1e-04
4,0.6707617044448853,0.7487915754318237,0.6770853400230408,0.7443830370903015,1e-04
5,0.6540078520774841,0.7564332485198975,0.6265379190444946,0.7699815630912781,1e-04
6,0.6356070637702942,0.7625558376312256,0.6105495095252991,0.7769797444343567,1e-04
7,0.6157587170600891,0.7720388770103455,0.6328125596046448,0.7666666507720947,1e-04
8,0.5891836881637573,0.7823965549468994,0.6263763308525085,0.7729281783103943,1e-04
9,0.5866406559944153,0.7829949855804443,0.6574927568435669,0.7648250460624695,1e-04
10,0.5442572236061096,0.8005340099334717,0.5785505175590515,0.7977900505065918,5e-05
11,0.5166664719581604,0.8089122176170349,0.595183253288269,0.7922651767730713,5e-05
12,0.502211332321167,0.813975989818573,0.6018667221069336,0.7937384843826294,5e-05
13,0.488675594329834,0.8220779895782471,0.5659286975860596,0.8022099733352661,5e-05
14,0.47032028436660767,0.8296735882759094,0.5816717147827148,0.7968692183494568,5e-05
15,0.4653754234313965,0.8285688161849976,0.5684945583343506,0.8011049628257751,5e-05
16,0.45302534103393555,0.8337246179580688,0.547808051109314,0.8132596611976624,5e-05
17,0.4416176378726959,0.8391566276550293,0.5942701697349548,0.8029465675354004,5e-05
18,0.42309948801994324,0.8457855582237244,0.5846695899963379,0.7920810580253601,5e-05
19,0.4192086160182953,0.8485936522483826,0.581123411655426,0.8068140149116516,5e-05
20,0.3855733871459961,0.8606085777282715,0.5817643404006958,0.8117863535881042,2.5e-05
21,0.37583863735198975,0.8618054389953613,0.5718392133712769,0.8104972243309021,2.5e-05
22,0.36743760108947754,0.866915225982666,0.5604953169822693,0.8189687132835388,2.5e-05
23,0.3474864065647125,0.874142587184906,0.5896278619766235,0.8119705319404602,2.5e-05
24,0.34410256147384644,0.8753855228424072,0.5672446489334106,0.8189687132835388,2.5e-05
25,0.3357241451740265,0.87833172082901,0.5577930212020874,0.8230202794075012,2.5e-05
26,0.33419302105903625,0.8793904781341553,0.5875078439712524,0.8186003565788269,2.5e-05
27,0.31239578127861023,0.8884131908416748,0.5651471614837646,0.818416178226471,2.5e-05
28,0.30780091881752014,0.8883671760559082,0.5918763875961304,0.819889485836029,2.5e-05
29,0.2855627238750458,0.899921715259552,0.57694011926651,0.8235727548599243,1.25e-05
